Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score
C451,We're gonna be my brother. He was playing like gluten. I went this gun and he ain't...,Shooting / gun violence,North Carolina,Concerned,0.63
C452,My brother's drowning. Where are you at? I don't have a hat.,Medical emergency,Kansas,Concerned,0.53
C453,"My god, my girlfriend is here today. Call him out, sir. He'll breathe it.",Homicide / death investigation,"Putnam County, Florida",Distressed,0.66
C454,"We have a gunshot wound accidental in the household. Okay, how old?",Shooting / gun violence,"LaPorte County, Indiana",Concerned,0.63
C455,Somebody's a- somebody's a kid in my house. What did I get her in the head with? I- I don't wanna-,Stabbing / assault,"Onslow County, North Carolina",Concerned,0.59
C456,There's a cleaning out of rock your road at 9.6.,Shooting / gun violence,"Walton County, Florida",Concerned,0.63
C457,"I don't know what this kid has done, she's like going into a seizure or something, and I don't know, magic.",Medical emergency,Ohio,Concerned,0.53
C458,"I got my gun out. There's somebody trying to get him on home. Okay, alright, let's go.",Shooting / gun violence,"Portage County, Indiana",Concerned,0.63
C459,I can hear your screen.,Fall / accidental injury,"English. Volusia County, Florida",Concerned,0.48
C460,"I'm going to bathe the orange boulder creek. We need to get the sutter. Okay, what's problem? Something exactly what happened?",Medical emergency,California,Concerned,0.53
C461,"Where's your emergency? I'll get a fire, a sewer-ring or a fire-ring toy. Hold on just a second. Slow down. What's the address?",Building fire,"Woods Cross, Utah",Concerned,0.59
C462,I just came home the door was busted in and my girlfriend's in shock.,Domestic disturbance,"Dane County, Wisconsin",Concerned,0.42
C463,"It just flashed into the Hudson River, a U.S. there.",Traffic collision,New York,Concerned,0.49
C464,I have the guy he just sees. He's really interested in him. It was screaming in the details. He's a monster. Okay.,Public safety / unusual incident,Florida,Concerned,0.27
C465,I've got a burger. A burger. Yes I am. Hand the burger.,Shooting / gun violence,Tennessee,Concerned,0.63
C466,"Okay, here's the baby. We're not going to be on the damn alien cabin move. 12-80 Island.",Public safety / unusual incident,"Sarasota County, Florida",Calm,0.27
C467,"Can I help you? Sir, we have a couple of people who've kicked over in the great sult-lake. I've got them on the line.",Water emergency / drowning,Utah,Concerned,0.59
C468,"and I am not a student, I am a bad student and in she can't.",Building fire,"Contra Costa County, California",Concerned,0.59
C469,"I'm coming here to write something. I listen to that. When I get that, I'm in the window.",Non-emergency / misuse of 911,Florida,Calm,0.06
C470,"Yeah, I will try to find out if I need to bring like any chick stubs or a",Threat / suspicious activity,Texas,Concerned,0.45
C471,"I see some activity going on in the car and I don't think it's proper. Okay, well, for that activity, is it, sir? It looks like...",Shooting / gun violence,Maryland,Concerned,0.63
C472,It's the emergency 911 emergency 340 oil.,Building fire,"Buck County, Pennsylvania",Concerned,0.59
C473,You saw this door. Someone what? We just got this office door.,Burglary / robbery / intruder,"Columbus, Ohio",Concerned,0.47
C474,What's wrong with me? What's wrong with me?,Stabbing / assault,"Stamford, Connecticut",Concerned,0.59
C475,It does crash. What plane? A plane crashed on 17th and Lincoln in houses.,Traffic collision,"Marshfield, Wisconsin",Concerned,0.49
C476,like gunshots being fired. Okay. I don't know where they're coming from. It was too-,Homicide / death investigation,"Forest County, Wisconsin",Distressed,0.66
C477,"My girlfriend, she has a sex boyfriend and she's been talking to hell out of her. Okay, just talking, I'll be-",Shooting / gun violence,"Wheatridge, Colorado",Concerned,0.63
C478,"We just got to call back somebody at shock, somebody in the health of Moses.",Building fire,"Cushing, Oklahoma",Concerned,0.59
C479,"with me, all of a kid nothing from my kids. So, we'll get that.",Homicide / death investigation,"Pearland, Texas",Distressed,0.66
C480,of gentlemen in the center room. I think a big epox allowed it to go through.,Shooting / gun violence,Indiana,Concerned,0.63
C481,"I have been doing the same at the end of the day, two thousand million gas at a five-year.",Homicide / death investigation,Massachusetts,Distressed,0.66
C482,But then the man lying on the highway. He's lying down at the area of the blood on his arm.,Homicide / death investigation,"the highway, Texas",Distressed,0.66
C483,He's coming! He's coming! He's coming!,Shooting / gun violence,Florida,Concerned,0.63
C484,I am a bamboo jap for your new neck and a broken neck and I am sick here. What? I am king.,Stabbing / assault,"Kent County, Michigan",Concerned,0.59
C485,I ordered a stupid chicken leg at the wooden floor by.,Non-emergency / misuse of 911,Florida,Calm,0.06
C486,somebody just somebody just come in and put us out of the car and put us on the car. Somebody needs all on each day.,Burglary / robbery / intruder,Texas,Concerned,0.47
C487,Help me. I was by me. My son is my thing. I'm going crazy. So I'm going crazy.,Threat / suspicious activity,California,Concerned,0.45
C488,"I'm getting into cop. I'm doing shot. Two, four, two, one, go. Give a shot. We're back up.",Homicide / death investigation,South Carolina,Distressed,0.66
C489,Brian Tessen's 7-1 back form circle and he is wrestling us to get in my house.,Shooting / gun violence,"Berkeley County, South Carolina",Concerned,0.63
C490,"I can't make a belief like that, I'm not happy. Yes, man, we just got, we just got to avoid breaking in our corner.",Shooting / gun violence,Tennessee,Concerned,0.63
C491,My boyfriend just stabbed the hell out of me and started in my head and my nerve in my head.,Stabbing / assault,Florida,Concerned,0.59
C492,"My apartment is on fire, you can't hear it! Okay, stay on the line with me, don't leave it. Don't leave it!",Building fire,Oklahoma,Concerned,0.59
C493,"I'm a March American fan. Oh, this is going to come! It doesn't take no doubt.",Building fire,"Parsippany, New Jersey",Concerned,0.59
C494,"talking them. Yes, I am playing just with them. I think he had a parachute on him, a I'd like to take care of students.",Traffic collision,"Gaithersburg, Maryland",Concerned,0.49
C495,"What's the problem there? There's a fire on pregnant. There's a fire on the house. There's a fire on the house. Yes, please. Okay, get outside.",Building fire,New York,Concerned,0.59
C496,My wife has now...,Stabbing / assault,Connecticut,Concerned,0.59
C497,I have a quick story for a co-worker. She just called in and sounded very...,Homicide / death investigation,Florida,Distressed,0.66
C498,"a wide female pastor pass out on one of our vehicles, which was 2122.",Medical emergency,Florida,Concerned,0.53
C499,"I'm going to turn this to a 25-hour bus here. I'll just hit the 2-hour bus, so I'll tell you something.",Non-emergency / misuse of 911,"Haltom City, Texas",Calm,0.06
C500,"I don't know there's a lady laying out here on the sidewalk. Okay, are you with the lady?",Homicide / death investigation,California,Distressed,0.66
C501,"Hi, my name is Gene Thomas. I'm watching my home online monitor and there's a black man in my house and he's robbing",Burglary / robbery / intruder,"Palm Beach County, Florida",Concerned,0.47
C502,"I'm going to start getting them out and out and be funny black. I'm going to get them away and what's me, are you with them now?",Medical emergency,"Collier County, Florida",Concerned,0.53
C503,There is a strange man outside our home and he's taller.,Shooting / gun violence,"Botetourt County, Virginia",Concerned,0.63
C504,"We're ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready",Stabbing / assault,"Prescott, Arizona",Concerned,0.59
C505,"man, my wife is in the bathroom, she's bleeding over the place, she thinks she's having a",Medical emergency,"Montcalm County, Michigan",Concerned,0.53
C506,"and since they didn't read and we just got robbed. Okay, what do you look like?",Shooting / gun violence,Ohio,Concerned,0.63
C507,I've got a person here who is not fit to drive and needs to be taken faster.,Public safety / unusual incident,California,Calm,0.27
C508,"because my chain of lady, she was yelling for half. It looked like she had a blood all over.",Shooting / gun violence,"Temecula, California",Concerned,0.63
C509,"There's somebody killed someone. Okay, ask her where the suspect is.",Shooting / gun violence,"Temecula, California",Concerned,0.63
C510,He said that shot the gunfire. Where are we? Can you go out to my east?,Shooting / gun violence,Wisconsin,Concerned,0.63
C511,I need an ambulance to do it. Somebody just come and click to have a test.,Domestic disturbance,"Hoffman Estates, Illinois",Concerned,0.42
C512,It is confirmed rotation on the ground. It's run a warehouse off of three quits.,Weather / environmental emergency,Tennessee,Concerned,0.49
C513,way into the north I've seen a funnel cloud just reporting my first exciting driving.,Weather / environmental emergency,Tennessee,Concerned,0.49
C514,We just got in the tornado and the chorus list and the windows were seen and we're bleeding.,Weather / environmental emergency,Tennessee,Concerned,0.49
C515,"I told you this camera crows, they're safe 24. Thank you.",Weather / environmental emergency,Tennessee,Concerned,0.49
C516,"Yeah, I have a rotating cloud coming in the southwest of Regis Eap Park.",Weather / environmental emergency,Tennessee,Concerned,0.49
C517,Are you a little bit tornadoes down off the broad and moral are you heart-car now? I'm looking at,Weather / environmental emergency,Tennessee,Concerned,0.49
C518,We can see a tornado we're at 914-year-old Chris. We have about five adults.,Weather / environmental emergency,Tennessee,Concerned,0.49
C519,I'm my mom. She's sick and she's telling us that. She can't wake up.,Medical emergency,"Ada County, Idaho",Concerned,0.53
C520,We stand up and eat the meals to the college. We're out of the green people. We're out of the green people. We're out of the green people. We're out of the green people.,Traffic collision,"Rochester, New York",Concerned,0.49
C521,Where's the guy with a gun in the case of the range? Which case is the Lincoln Y one?,Shooting / gun violence,Iowa,Concerned,0.63
C522,I just wanted to sit in this house like this. You can't even hear this. Who is that? That's the course to be my side.,Shooting / gun violence,New York,Concerned,0.63
C523,[No intelligible speech detected],Missing person / abduction,Florida,Concerned,0.56
C524,"Okay, so I might be fine. Okay, six, one, five. Okay. Okay.",Stabbing / assault,Wisconsin,Concerned,0.59
C525,"and then Warren there's a fire back here at someone's front porch. Okay, where you need the fire department ma'am.",Building fire,Ohio,Concerned,0.59
C526,We just saw a big airliner to see if it could have had two hard planes and bullets.,Public safety / unusual incident,"Jersey City, New Jersey",Calm,0.27
C527,"So we'll we'll we'll we'll turn. Okay, thank you.",Public safety / unusual incident,"Jersey City, New Jersey",Calm,0.27
C528,emergency. Oh that's the F-18 chasing a big commercial plane around and around almost downtown Jersey. Yeah.,Public safety / unusual incident,"Jersey City, New Jersey",Concerned,0.27
C529,"Yes, I just had two unusual aircraft fly really close.",Public safety / unusual incident,"Jersey City, New Jersey",Calm,0.27
C530,I am Mrs. Anna and I'm Mrs. Anna and I'm Mrs. Anna and I'm Mrs. Anna What are your address? What are you address?,Shooting / gun violence,"Santa Clara County, California",Concerned,0.63
C531,I'm by the way the dog doesn't know in the water. And we can't get out. Oh my God.,Building fire,Wisconsin,Concerned,0.59
C532,just walk up and then we're several done job. Okay sir. Stay with me okay?,Shooting / gun violence,Georgia,Concerned,0.63
C533,"If not, I'm calling from the Sheraton Gulf of Wernher. Yes, sir. We have a dead body in one of our roosians.",Homicide / death investigation,Maryland,Distressed,0.66
C534,"because they just jumped back 13-year-old the water, and it's about to be on a 4-week-old one.",Stabbing / assault,"Rochester, New York",Concerned,0.59
C535,We got off the dam. What do you mean you have an old- I don't have a whole bunch off the dam. What do you-,Shooting / gun violence,Texas,Concerned,0.63
C536,We got a motherfucker.,Shooting / gun violence,Texas,Concerned,0.63
C537,"you know, love you to shut down. You heard what? I think love you is quite down.",Shooting / gun violence,Texas,Concerned,0.63
C538,It's too late. And the high-range head...,Shooting / gun violence,"Sandusky, Ohio",Concerned,0.63
C539,we have a dead body right out in front of our school on the grassy area but we're at the John C. Dorothy B. Johnson location,Homicide / death investigation,North Carolina,Distressed,0.66
C540,[No intelligible speech detected],Shooting / gun violence,New York,Concerned,0.63
C541,I just called over to my sister's house and I have a felon.,Homicide / death investigation,"Cascade County, Montana",Distressed,0.66
C542,The one man followed me from the adaptation. Sam? Did he show the gun to you?,Shooting / gun violence,"Madison County, Illinois",Concerned,0.63
C543,I'm somebody just coming and shot my daughter and my husband. They shot them? Please let me check. I love my kids.,Burglary / robbery / intruder,"Pima County, Arizona",Concerned,0.61
C544,I'm watching TV in a heard five shots and there's only an MITRE on yard. A woman's seat.,Shooting / gun violence,Wisconsin,Concerned,0.63
C545,I just killed my family. Looks nice. All over me. What's your name? Michael Miller.,Stabbing / assault,Arizona,Concerned,0.59
C546,"Why not? Sorry, let me get down here, Jesus. Where are you? No, no, God, I'm dead.",Medical emergency,Florida,Concerned,0.53
C547,I'm going to need to increase my ambulance. I need to decrease my brother's trunk and eat to accrue my whole face.,Shooting / gun violence,Florida,Concerned,0.63
C548,"I'm pulled over in the road, my husband's in the middle of the road having a serious like cycle.",Shooting / gun violence,Utah,Concerned,0.63
C549,"Well, my husband's not, I can't seem to wake him up.",Medical emergency,Nevada,Concerned,0.53
C550,Now listen here. I've got two people here help us to do it. Okay. Now you know,Threat / suspicious activity,Texas,Concerned,0.45
C551,"She made, we have a Burmese high-tard, and she's about 12 foot long, she got out of the cage last night and got into",Stabbing / assault,Florida,Concerned,0.59
C552,"We were just said and talking my wife feel a problem and then she fell on the floor. Okay, what?",Domestic disturbance,"Charleston County, South Carolina",Concerned,0.42
C553,I'm going to put out a million streets up here by one of our kitcheners. Where are you at?,Homicide / death investigation,North Carolina,Distressed,0.66
C554,"So, that's been shot. I'm not the head that I have to check the vinyls.",Homicide / death investigation,Tennessee,Distressed,0.66
C555,"There's a guy there with a gun. Yeah. A black and white, a black and white.",Shooting / gun violence,"Jeffersontown, Kentucky",Concerned,0.63
C556,plant that drats and guys walk around I'm talking about looking from the work that I've done he's just I can make some money to get my address please,Shooting / gun violence,"Jeffersontown, Kentucky",Concerned,0.63
C557,The man on the phone says there's a man on his property with a gun. Okay. And that's where the person is supposed to be.,Shooting / gun violence,"Jeffersontown, Kentucky",Concerned,0.63
C558,I just have been bitten by a red tail fox up in red reef park.,Animal attack,Florida,Concerned,0.49
C559,"We had a, I think a student right now on those bus born on the high school.",Homicide / death investigation,"Butler County, Iowa",Distressed,0.66
C560,out. Maybe not working. It's not working. My babies are in there. Oh my god. I'm going to get it.,Homicide / death investigation,Wisconsin,Distressed,0.66
C561,I'm putting this pin in front of my daughter and my husband. They shot them? They shot them? What's your act of like a...,Burglary / robbery / intruder,Arizona,Concerned,0.47
C562,"If it's cold, it's not breathing. If it's trying to get it to CPR. Okay. Is there any way you can get...",Medical emergency,North Carolina,Concerned,0.53
C563,"Yeah, there's been a bunch of guns out to my house. I think a bunch of people were shot. We're at 21 12 years",Shooting / gun violence,"21 12 years, Washington",Concerned,0.63
C564,I am going to go to the hospital. I am going to go to the hospital. I am going to go to the hospital.,Medical emergency,"Spanish., Texas",Concerned,0.53
C565,I want to be your host of all the hands. We'll go to the place of the craft aid. So go and jump in after it.,Water emergency / drowning,Utah,Concerned,0.59
C566,I think I just tried to get out of his car and he tried in my truck.,Traffic collision,"Bumcombe County, North Carolina",Concerned,0.49
C567,"but he's been shot by calling the police and an ambulance. Yeah, does he let the horse you?",Burglary / robbery / intruder,"Santa Fe County, New Mexico",Concerned,0.63
C568,happening. I just had an older woman standing there and she had noticed two gentlemen trying to get in a house.,Public safety / unusual incident,"Cambridge, Massachusetts",Calm,0.27
C569,I'm not my sister! I'm not my sister! I'm not my sister!,Stabbing / assault,Texas,Concerned,0.59
C570,I have been in the news recently about being on in a hotel naked.,Sexual assault / stalking,Tennessee,Concerned,0.59
C571,There's a armed robbery going right on right now. I've been shot in the back and I believe you've been shot in the back Okay,Shooting / gun violence,Wisconsin,Distressed,0.65
C572,My father stabbed me. He just stabbed me.,Stabbing / assault,"Maitland, Florida",Concerned,0.59
C573,emergency. I grew up and just jumped off the back of our hotel room.,Homicide / death investigation,"Orange County, Oklahoma",Distressed,0.66
C574,"Yes, other guys in the shot. Okay, right here on Bird Naut Avenue and I wanted to see if the animal",Shooting / gun violence,"Bird Naut Avenue, North Carolina",Concerned,0.63
C575,"No, there's people trying to break in my house. Okay, they're there right now. Right now, they just spoke a basement window.",Burglary / robbery / intruder,"Livingston County, Michigan",Concerned,0.47
C576,I told my girlfriend. Excuse me. Did you hear me? I want you to read.,Building fire,Ohio,Concerned,0.59
C577,three black men in the middle of Russell Boulevard and one of them has like a,Shooting / gun violence,Tennessee,Concerned,0.63
C578,"Let me see. Okay, I'm right. It's right, my wife.",Shooting / gun violence,Tennessee,Concerned,0.63
C579,We've already got some money on the way. Can you give me any kind of description?,Shooting / gun violence,Tennessee,Concerned,0.63
C580,"There are three black gentlemen that are there. Her last in the women, Aptie.",Shooting / gun violence,"Clackamas County, Oregon",Concerned,0.63
C581,I was at a late title. I picked $10 and these guys gave me one burger and a fries,Shooting / gun violence,"Clackamas County, Oregon",Concerned,0.63
C582,I gave you guys 10 hours and they gave me 1 burger and a fry and told me that it's hard.,Shooting / gun violence,"Clackamas County, Oregon",Concerned,0.63
C583,"I've been running over. I've been running over. Oh, they only use real chat for...",Traffic collision,Iowa,Concerned,0.49
C584,"Yes, my husband is a Batman, I stabbed him. Okay, what's your address? 94.95.",Stabbing / assault,Ohio,Concerned,0.59
C585,I'm driving and I have somebody chasing me and they just hit my car.,Traffic collision,"Sarasota, Florida",Concerned,0.49
C586,"Well, I'm Jeremy Drom now, I'm just trying to figure out a thing when you get...",Shooting / gun violence,North Carolina,Concerned,0.63
C587,Why don't you see what's the matter? I meant the court. I got to...,Fall / accidental injury,Idaho,Concerned,0.48
C588,I have a quick story for a co-worker. She just called in and sounded very...,Homicide / death investigation,Florida,Distressed,0.66
C589,"I can't stand problem, you can't stand where he is at that. He's trying to himself, so I can't understand. I have a song over there.",Homicide / death investigation,"Glynn County, Georgia",Distressed,0.66
C590,"That's been part of it and so many things out. So I'm gonna shout out. Yeah, you can shout out to her over.",Shooting / gun violence,Utah,Concerned,0.63
C591,Someone is getting my house within the summer.,Shooting / gun violence,Ohio,Concerned,0.63
C592,I just saw a guy go into a room.,Missing person / abduction,"Ogden, Utah",Concerned,0.56
C593,Uh-huh. It looks good. I'm sorry? I'm sorry. I like how I just stuck. Wow.,Traffic collision,California,Concerned,0.49
C594,just been shot through in my parents. You've been shot? Just right. Where have you been shot at? I'm in my leg.,Homicide / death investigation,"Boone County, Kentucky",Distressed,0.66
C595,Nobody just broke into a house with the address. They have to miss with the address. Shut up. You shy out?,Shooting / gun violence,Wisconsin,Concerned,0.63
C596,I had just fed my daughters and myself. You just did one? I found my daughters. You stopped.,Stabbing / assault,California,Concerned,0.59
C597,"Wish 10 people in the house, do they have weapons? Huh? Yes. We'll catch the water.",Shooting / gun violence,Kentucky,Concerned,0.63
C598,"Hi, my name is Steven Rodwold and I just heard a few of my dad.",Shooting / gun violence,"Huron County, Ohio",Concerned,0.63
C599,The baby was breathing the mother. I had...,Medical emergency,"Seminole County, Florida",Concerned,0.53
C600,My name is Casey and I'm driving toward Don Carrio and a car went off into the media at mile marker 22.,Traffic collision,"Canyon County, Idaho",Concerned,0.49
C601,"I just can't come back to the window. It's not too close. Is anybody hurting your house? I don't know yet, but...",Shooting / gun violence,Arizona,Concerned,0.63
C602,Do you see that? I was breathing. It was no cold. Yes.,Medical emergency,"Sedona, Arizona",Concerned,0.53
C603,What's going on? I don't know somebody put the window on now. And your house or your car?,Shooting / gun violence,"Harris County, Texas",Concerned,0.63
C604,I'm going to tell you what's going on. I'm going to tell you what's going on. I'm going to tell you what's going on.,Burglary / robbery / intruder,Wisconsin,Concerned,0.47
C605,and there were some kids over here around just another kid who found another kid in all of that,Building fire,Florida,Concerned,0.59
C606,So we'll break this car on fire and you jump inside of the swimming pool. Go see address.,Building fire,Florida,Concerned,0.59
C607,"Oh, and I cut my wife. Oh, we're gonna dance up and I think she gets. I want you at the address.",Homicide / death investigation,"Warren County, Ohio",Distressed,0.66
C608,"that's right now. She does gone and I need them all. It's itself. Okay, what do we mean shooting?",Shooting / gun violence,Minnesota,Concerned,0.63
C609,I just killed my father anyway. You just did one?,Shooting / gun violence,Utah,Concerned,0.63
C610,"Yeah, I have a black guy and he says it's gonna rub the store and anyone says to give him he says he has a gun on him",Shooting / gun violence,Iowa,Concerned,0.63
C611,Hello? Anybody else have to? Hello? Anybody who has to have to have to?,Non-emergency / misuse of 911,Florida,Calm,0.06
C612,"I'm so sorry for the shooting, there's people running out of my building at work, where",Shooting / gun violence,Florida,Concerned,0.63
C613,"Yes ma'am, I'm having a shot. Aaaaah! Aaaaah! Please! I'm sorry, words.",Shooting / gun violence,Florida,Distressed,0.7
C614,"and say. Thank you, everybody. I'm watching today, everybody. I'm watching an Avenue.",Stabbing / assault,New Jersey,Concerned,0.59
C615,I'm bringing a teacher max right now. I work at Sweet Bay and a couple of ladies who work there just ran down here telling me.,Burglary / robbery / intruder,"Venice, Florida",Concerned,0.47
C616,"We were closing with Laura and his guy, Jamie, were mad at John. I think...",Burglary / robbery / intruder,"Venice, Florida",Concerned,0.47
C617,"No, sir, my neighbor came. You understand her? What's inside the baby out fire? I don't know, the lady's...",Building fire,Connecticut,Concerned,0.59
C618,"People just broken my neighbor's house. I see address, but see address.",Burglary / robbery / intruder,Florida,Concerned,0.47
C619,"I think I got shot. Damn me, he repair 4203 Lake Avenue with Humbie.",Shooting / gun violence,"West Palm Beach, Florida",Concerned,0.63
C620,"The old black one behind, shoulders with the guard. Run towards the...",Shooting / gun violence,Ohio,Concerned,0.63
C621,"Mommy's full. If your mommy's sick, does she need a damn deal in? Mommy.",Medical emergency,"Charles County, Maryland",Concerned,0.53
C622,I woke up this morning and my daughter was not in the house. I don't know if she woke up.,Missing person / abduction,North Carolina,Concerned,0.56
C623,I just killed my daughter. You what? I just killed my daughter. I just killed my daughter.,Shooting / gun violence,New Mexico,Concerned,0.63
C624,"Mr. Schumer, thank you. Man, man, man, man, man, man, man, man, man, man.",Stabbing / assault,Texas,Concerned,0.59
C625,I need to honor anyone quickly and honor fire fire inclusion,Building fire,"Palm Bay, Florida",Concerned,0.59
C626,"The house is on fire, the house is blowing up. Can you dial me? Listen, we've already got a car. Is it on a lap?",Building fire,"Palm Bay, Florida",Concerned,0.59
C627,There's a man at my back door he's trying to get in.,Burglary / robbery / intruder,"Lincoln County, Oklahoma",Concerned,0.47
C628,We're going to eat!,Shooting / gun violence,Ohio,Concerned,0.63
C629,He's trying to get his friends and coaches. He's trying to get his friends and coaches. He's trying to get his friends and coaches.,Building fire,"Naples, Florida",Concerned,0.59
C630,"that's heading south on 951. Yeah, it's a new model truck. Looks like a Dodge or a Ford.",Building fire,"Naples, Florida",Concerned,0.59
C631,"We've found an elephant walking down the street near the community center, the right 20.",Public safety / unusual incident,Canada,Calm,0.27
C632,"Oh, somebody's passed out! Somebody what? Somebody's passed out!",Homicide / death investigation,California,Distressed,0.66
C633,radio I have in there in the lobby with the gun. Alright is everybody okay everybody away from them?,Shooting / gun violence,Oklahoma,Concerned,0.63
C634,"Can we meet a police assistance for this student? Okay, what's going on?",Non-emergency / misuse of 911,"Livingston County, Michigan",Calm,0.13
C635,"My mom and her boyfriend, and her boyfriend, so can I have a warm up.",Domestic disturbance,"Lawton, Oklahoma",Concerned,0.42
C636,"accidentally shot my husband. You accidentally shot your husband? Yeah. Okay, see breathing.",Shooting / gun violence,"Shephersville, Kentucky",Concerned,0.63
C637,[No intelligible speech detected],Medical emergency,"Reno, Nevada",Concerned,0.53
C638,"These came up for a bit when I made her father's father. And I said, there were not many people.",Homicide / death investigation,"Payson, Utah",Distressed,0.66
C639,"and they're coming across to me at gunpoint and the 3,400 block that high would drive southeast.",Shooting / gun violence,DC,Concerned,0.63
C640,"I think someone came in and started shooting. I don't know where I'm at, one winter's drawing. It works really long.",Homicide / death investigation,"Brooksville, Florida",Distressed,0.66
C641,We got a baby that's not responsive. We're at 3301 West Noelle Drive.,Medical emergency,"3301 West Noelle Drive, Indiana",Concerned,0.53
C642,"I'm not many things right now, but it's all urgent. These people, they came through my door.",Rescue / person trapped,"Warren, Ohio",Concerned,0.55
C643,I'd like to call it the central robbery and my mother's a missing perk. I don't know. Yeah.,Homicide / death investigation,"Linvingston County, Michigan",Distressed,0.66
C644,"Okay, let's do it.",Homicide / death investigation,"Kent County, Michigan",Distressed,0.66
C645,"I went up the road, I'm in a retention pond right now. You're in the retention pond? Yeah.",Traffic collision,"Winter Garden, Florida",Concerned,0.49
C646,your emergency? I've got a gentleman in quarantine with a gun. I need someone here right now on the So many.,Shooting / gun violence,"Macomb, Illinois",Distressed,0.73
C647,I need to file a proof leave your board to be sent off to my house.,Stabbing / assault,Iowa,Concerned,0.59
C648,and quickly help me from my turn to a moment and quickly hurry with your address.,Threat / suspicious activity,Oklahoma,Concerned,0.63
C649,"shooting out, come to the fucking house! That's a way!",Shooting / gun violence,"Brevard County, Florida",Concerned,0.63
C650,"I just killed my teachers. What's your name, Mel? Julia Murray. What is it?",Homicide / death investigation,"Glynn County, Georgia",Distressed,0.66
C651,the building on 30 turn 4 stops with 8 clues on fire. Report of a house fire. House fire.,Building fire,"30 turn 4 stops with 8 clues, Illinois",Concerned,0.59
C652,"There's a house on fire. There's a house on fire? 30 seconds, 48 seconds.",Building fire,Illinois,Concerned,0.59
C653,"I think they should be the murder. Okay, and where is the person out that is the victim?",Homicide / death investigation,"Brevard County, Florida",Distressed,0.66
C654,I'm going to call him. Whoa.,Burglary / robbery / intruder,"Daytona Beach, Florida",Concerned,0.47
C655,"The former Flickr store, there's a fight workout and the liquor store. Here's a customer folding him back. You guys need to...",Shooting / gun violence,Ohio,Concerned,0.63
C656,and just stop me. Your husband shot you where at man. And there's some links if you,Shooting / gun violence,"Edgewater, Florida",Concerned,0.63
C657,I've got a black man here that's so good in our house. Your band is...,Traffic collision,"Livingston, Louisiana",Concerned,0.49
C658,We have a trainer in the water with one of our whales. The whale that's been up to be in the water with. Okay.,Stabbing / assault,"Seaworld Orlando, Florida",Concerned,0.59
C659,"Oh, there's some call. There's some guy. There's a guy with a human mom and dad. Can you close?",Burglary / robbery / intruder,"Norwalk, California",Concerned,0.47
C660,"I think the house is on fire. Okay, what name where is it? 1, 2, 2, 1, 8.",Building fire,"Spotsylvania County, Virginia",Concerned,0.59
C661,I just killed somebody. You what? I just killed somebody. You killed somebody? Yeah.,Homicide / death investigation,"Vineland, New Jersey",Distressed,0.66
C662,"and shock, which has fired at the public's forever orange in the high lock.",Homicide / death investigation,Florida,Distressed,0.66
C663,"or in Canada there's somebody in the store. Okay, or in Canada anywhere.",Homicide / death investigation,"Canada, Florida",Distressed,0.66
C664,the media leader the guy with a knife for me is on my own brown token don't run nay,Missing person / abduction,Florida,Concerned,0.56
C665,"I've been wearing a breeze. Okay, you've got a single family home or an apartment, man.",Building fire,Florida,Concerned,0.59
C666,"I'm not playing that shot. Alright, Santa, I'm going to come in with three and three over the rescue.",Shooting / gun violence,Florida,Concerned,0.63
C667,"I'm gonna go to the pool hall. If you wouldn't be there, this is doing...",Shooting / gun violence,"Orangeburg County, South Carolina",Concerned,0.63
C668,"I don't have money inside this thing. So, so, so. I don't have...",Burglary / robbery / intruder,"Palm Beach Gardens, Florida",Concerned,0.47
C669,This is my one one. Do you need police or medicine?,Homicide / death investigation,Arizona,Distressed,0.66
C670,"Okay, I'm in the middle.",Missing person / abduction,"Winter Springs, Florida",Concerned,0.56
C671,"I'm not staring my arm, mom, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm,",Shooting / gun violence,"Liberty, Ohio",Concerned,0.63
C672,there's been an explosion on I-30 on the sorry 183 research.,Traffic collision,Texas,Concerned,0.49
