Incident_ID,Source,Event,Location,Time,Severity,Source_Record_ID,Detail
AUD-406,Audio,Building fire,"An Orange County, California",Unknown,High,C406,"The bedroom is on fire. My house is going fast. Okay, we're on the way."
AUD-407,Audio,Homicide / death investigation,"Cambridge, North Carolina",Unknown,High,C407,"How are you doing? I'd like to report like a double motor in Cambridge, Orange. Okay, do you know that?"
AUD-408,Audio,Shooting / gun violence,"the inside. 1-75 air bore road, Georgia",Unknown,High,C408,1-6-25 air bore road on the inside. 1-75 air bore road.
AUD-409,Audio,Homicide / death investigation,New York,Unknown,High,C409,I work. I work on the bed. Let me come up and shoot me. Ah?
AUD-410,Audio,Medical emergency,"Deltona, Florida",Unknown,High,C410,I need them help. What's going on?
AUD-411,Audio,Building fire,New York,Unknown,High,C411,If there's a fire. Give a fire what address man?
AUD-412,Audio,Traffic collision,"Hanscom Airport, Massachusetts",Unknown,Medium,C412,I something just exploded at the end of say that okay is here any
AUD-413,Audio,Burglary / robbery / intruder,Florida,Unknown,High,C413,I think I'm just trying to break into my home.
AUD-414,Audio,Medical emergency,"Gaston County, North Carolina",Unknown,High,C414,"Oh, my famous grandmother has been a lot of help from. He's unconscious and a fool. Okay, man."
AUD-415,Audio,Homicide / death investigation,"Clackamas County, Oregon",Unknown,High,C415,I just shot my mother and my... You shot your mother?
AUD-416,Audio,Shooting / gun violence,"third avenue, Washington",Unknown,High,C416,I guess we'll just ask a shooting on third avenue and Nickerson.
AUD-417,Audio,Weather / environmental emergency,Florida,Unknown,Medium,C417,"Hi, I'm not going to see you right now. You're so glad I made you. I'm going to blow from you."
AUD-418,Audio,Traffic collision,Florida,Unknown,Medium,C418,Airport. We have an aircraft declaring an emergency that's going to land on the beach at Venice. Close to the airport. I'm not sure it got...
AUD-419,Audio,Rescue / person trapped,"Rossmoor, California",Unknown,High,C419,I want to show I think someone's in. Can you hear the front door? I'm hearing those front door.
AUD-420,Audio,Homicide / death investigation,Florida,Unknown,High,C420,"We heard them looked in, the garage door was up. I thought the gentleman was backing out and I went back."
AUD-421,Audio,Burglary / robbery / intruder,"Wilmington, North Carolina",Unknown,High,C421,all the bars we've been robbed we've been beaten and the family dollars I'm bleeding
AUD-422,Audio,Shooting / gun violence,Nevada,Unknown,High,C422,I have a gun range officer that got shot in the head. We're at a temperature to point
AUD-423,Audio,Shooting / gun violence,"Charleston County, South Carolina",Unknown,High,C423,"I need a 10 minutes right now for you. Okay, what's the address?"
AUD-424,Audio,Traffic collision,"Muskegon, Michigan",Unknown,Medium,C424,"We go up to this lady, she's laying in the road. I think she would hit by a car. You got to head in, Dree."
AUD-425,Audio,Shooting / gun violence,"Guilford County, North Carolina",Unknown,High,C425,"I don't really know where I'm at, but more on my crew, this guy Rob, did he got shot? Okay. Fun."
AUD-426,Audio,Stabbing / assault,Colorado,Unknown,High,C426,She's got me. Who got you? There's home now. Hold on.
AUD-427,Audio,Shooting / gun violence,Arizona,Unknown,High,C427,"Please have me, please try to get my house. I wonder what are they doing? They've tied my fund on my schedule right now."
AUD-428,Audio,Shooting / gun violence,New Mexico,Unknown,High,C428,"There's been a shooting on the shot in the end of the cat. It will be... Stop, stop, okay. It's the enders."
AUD-429,Audio,Missing person / abduction,"Bountiful, Utah",Unknown,Medium,C429,"I love me, I do have a lawyer. Are you at a house? Where's the house? Are you?"
AUD-430,Audio,Homicide / death investigation,"Gilchrist County, Florida",Unknown,High,C430,"Yes, man, I just shot my daughter and shot all my grandkids."
AUD-431,Audio,Shooting / gun violence,"Northbound on Redwood Road, Utah",Unknown,High,C431,I'm not finding ways to work on Northbound on Redwood Road.
AUD-432,Audio,Shooting / gun violence,California,Unknown,High,C432,I don't want to be here.
AUD-433,Audio,Building fire,Oklahoma,Unknown,High,C433,I've got a ride from someone with teeth for a cold. My 35-7.
AUD-434,Audio,Shooting / gun violence,Ohio,Unknown,High,C434,"And there was a guy and it was a pesto, you know, it was probably a friend, but he's like pointing at everybody."
AUD-435,Audio,Shooting / gun violence,North Carolina,Unknown,High,C435,"I'll shut my husband. Please fill the shots with me. Okay, hold on for me. Okay."
AUD-436,Audio,Missing person / abduction,"Seminole County, Florida",Unknown,Medium,C436,"I'm sorry, there's a situation here. We have residents that I think they store a car."
AUD-437,Audio,Water emergency / drowning,"Cherokee County, Georgia",Unknown,High,C437,I'm in a glowing lake where I look away.
AUD-438,Audio,Homicide / death investigation,Arizona,Unknown,High,C438,I think it's murder. What makes you think that? Because
AUD-439,Audio,Medical emergency,California,Unknown,High,C439,So under in my husband's head eyes are rolling back. He is just not breathing.
AUD-440,Audio,Burglary / robbery / intruder,"New Britain, Connecticut",Unknown,High,C440,I just received a call for a few minutes ago from one of our VP's who states that he's
AUD-441,Audio,Animal attack,"the park 31st Avenue, Arizona",Unknown,Medium,C441,There's a Dig Man at the park 31st Avenue in Valmont.
AUD-442,Audio,Shooting / gun violence,"Riverside County, California",Unknown,High,C442,"Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, "
AUD-443,Audio,Shooting / gun violence,North Carolina,Unknown,High,C443,There has been four done for us. Close to a second. And it doesn't fail.
AUD-444,Audio,Homicide / death investigation,"Warren County, New Jersey",Unknown,High,C444,"Oh, and I cut my wife. Oh, we're gonna dance up and I think she gets. I want you at the address."
AUD-445,Audio,Missing person / abduction,North Carolina,Unknown,Medium,C445,"We just found the body of a baby, my grandson."
AUD-446,Audio,Shooting / gun violence,"Lincoln County, North Carolina",Unknown,High,C446,I would have brought behind him and his brother-in-law went off and I called down there because I was saying this.
AUD-447,Audio,Missing person / abduction,"Orange County, Florida",Unknown,Medium,C447,We have a different us counting utilities emergency this back we found a human skull. Oh my gosh.
AUD-448,Audio,Shooting / gun violence,"West Palm Beach, Florida",Unknown,High,C448,I don't want to want to emergency. I need a police to come to my...
AUD-449,Audio,Shooting / gun violence,Florida,Unknown,High,C449,Hello? Like that in my uncle just got shot. Okay. I don't know how to let go. Two people shot it this time.
AUD-450,Audio,Building fire,California,Unknown,High,C450,"on the side of the dive. And you can tell my little cousin right now. Okay, can you tell us?"
AUD-451,Audio,Shooting / gun violence,North Carolina,Unknown,High,C451,We're gonna be my brother. He was playing like gluten. I went this gun and he ain't...
AUD-452,Audio,Medical emergency,Kansas,Unknown,High,C452,My brother's drowning. Where are you at? I don't have a hat.
AUD-453,Audio,Homicide / death investigation,"Putnam County, Florida",Unknown,High,C453,"My god, my girlfriend is here today. Call him out, sir. He'll breathe it."
AUD-454,Audio,Shooting / gun violence,"LaPorte County, Indiana",Unknown,High,C454,"We have a gunshot wound accidental in the household. Okay, how old?"
AUD-455,Audio,Stabbing / assault,"Onslow County, North Carolina",Unknown,High,C455,Somebody's a- somebody's a kid in my house. What did I get her in the head with? I- I don't wanna-
AUD-456,Audio,Shooting / gun violence,"Walton County, Florida",Unknown,High,C456,There's a cleaning out of rock your road at 9.6.
AUD-457,Audio,Medical emergency,Ohio,Unknown,High,C457,"I don't know what this kid has done, she's like going into a seizure or something, and I don't know, magic."
AUD-458,Audio,Shooting / gun violence,"Portage County, Indiana",Unknown,High,C458,"I got my gun out. There's somebody trying to get him on home. Okay, alright, let's go."
AUD-459,Audio,Fall / accidental injury,"English. Volusia County, Florida",Unknown,Medium,C459,I can hear your screen.
AUD-460,Audio,Medical emergency,California,Unknown,High,C460,"I'm going to bathe the orange boulder creek. We need to get the sutter. Okay, what's problem? Something exactly what happened?"
AUD-461,Audio,Building fire,"Woods Cross, Utah",Unknown,High,C461,"Where's your emergency? I'll get a fire, a sewer-ring or a fire-ring toy. Hold on just a second. Slow down. What's the address?"
AUD-462,Audio,Domestic disturbance,"Dane County, Wisconsin",Unknown,Medium,C462,I just came home the door was busted in and my girlfriend's in shock.
AUD-463,Audio,Traffic collision,New York,Unknown,Medium,C463,"It just flashed into the Hudson River, a U.S. there."
AUD-464,Audio,Public safety / unusual incident,Florida,Unknown,Low,C464,I have the guy he just sees. He's really interested in him. It was screaming in the details. He's a monster. Okay.
AUD-465,Audio,Shooting / gun violence,Tennessee,Unknown,High,C465,I've got a burger. A burger. Yes I am. Hand the burger.
AUD-466,Audio,Public safety / unusual incident,"Sarasota County, Florida",Unknown,Low,C466,"Okay, here's the baby. We're not going to be on the damn alien cabin move. 12-80 Island."
AUD-467,Audio,Water emergency / drowning,Utah,Unknown,High,C467,"Can I help you? Sir, we have a couple of people who've kicked over in the great sult-lake. I've got them on the line."
AUD-468,Audio,Building fire,"Contra Costa County, California",Unknown,High,C468,"and I am not a student, I am a bad student and in she can't."
AUD-469,Audio,Non-emergency / misuse of 911,Florida,Unknown,Low,C469,"I'm coming here to write something. I listen to that. When I get that, I'm in the window."
AUD-470,Audio,Threat / suspicious activity,Texas,Unknown,Medium,C470,"Yeah, I will try to find out if I need to bring like any chick stubs or a"
AUD-471,Audio,Shooting / gun violence,Maryland,Unknown,High,C471,"I see some activity going on in the car and I don't think it's proper. Okay, well, for that activity, is it, sir? It looks like..."
AUD-472,Audio,Building fire,"Buck County, Pennsylvania",Unknown,High,C472,It's the emergency 911 emergency 340 oil.
AUD-473,Audio,Burglary / robbery / intruder,"Columbus, Ohio",Unknown,High,C473,You saw this door. Someone what? We just got this office door.
AUD-474,Audio,Stabbing / assault,"Stamford, Connecticut",Unknown,High,C474,What's wrong with me? What's wrong with me?
AUD-475,Audio,Traffic collision,"Marshfield, Wisconsin",Unknown,Medium,C475,It does crash. What plane? A plane crashed on 17th and Lincoln in houses.
AUD-476,Audio,Homicide / death investigation,"Forest County, Wisconsin",Unknown,High,C476,like gunshots being fired. Okay. I don't know where they're coming from. It was too-
AUD-477,Audio,Shooting / gun violence,"Wheatridge, Colorado",Unknown,High,C477,"My girlfriend, she has a sex boyfriend and she's been talking to hell out of her. Okay, just talking, I'll be-"
AUD-478,Audio,Building fire,"Cushing, Oklahoma",Unknown,High,C478,"We just got to call back somebody at shock, somebody in the health of Moses."
AUD-479,Audio,Homicide / death investigation,"Pearland, Texas",Unknown,High,C479,"with me, all of a kid nothing from my kids. So, we'll get that."
AUD-480,Audio,Shooting / gun violence,Indiana,Unknown,High,C480,of gentlemen in the center room. I think a big epox allowed it to go through.
AUD-481,Audio,Homicide / death investigation,Massachusetts,Unknown,High,C481,"I have been doing the same at the end of the day, two thousand million gas at a five-year."
AUD-482,Audio,Homicide / death investigation,"the highway, Texas",Unknown,High,C482,But then the man lying on the highway. He's lying down at the area of the blood on his arm.
AUD-483,Audio,Shooting / gun violence,Florida,Unknown,High,C483,He's coming! He's coming! He's coming!
AUD-484,Audio,Stabbing / assault,"Kent County, Michigan",Unknown,High,C484,I am a bamboo jap for your new neck and a broken neck and I am sick here. What? I am king.
AUD-485,Audio,Non-emergency / misuse of 911,Florida,Unknown,Low,C485,I ordered a stupid chicken leg at the wooden floor by.
AUD-486,Audio,Burglary / robbery / intruder,Texas,Unknown,High,C486,somebody just somebody just come in and put us out of the car and put us on the car. Somebody needs all on each day.
AUD-487,Audio,Threat / suspicious activity,California,Unknown,Medium,C487,Help me. I was by me. My son is my thing. I'm going crazy. So I'm going crazy.
AUD-488,Audio,Homicide / death investigation,South Carolina,Unknown,High,C488,"I'm getting into cop. I'm doing shot. Two, four, two, one, go. Give a shot. We're back up."
AUD-489,Audio,Shooting / gun violence,"Berkeley County, South Carolina",Unknown,High,C489,Brian Tessen's 7-1 back form circle and he is wrestling us to get in my house.
AUD-490,Audio,Shooting / gun violence,Tennessee,Unknown,High,C490,"I can't make a belief like that, I'm not happy. Yes, man, we just got, we just got to avoid breaking in our corner."
AUD-491,Audio,Stabbing / assault,Florida,Unknown,High,C491,My boyfriend just stabbed the hell out of me and started in my head and my nerve in my head.
AUD-492,Audio,Building fire,Oklahoma,Unknown,High,C492,"My apartment is on fire, you can't hear it! Okay, stay on the line with me, don't leave it. Don't leave it!"
AUD-493,Audio,Building fire,"Parsippany, New Jersey",Unknown,High,C493,"I'm a March American fan. Oh, this is going to come! It doesn't take no doubt."
AUD-494,Audio,Traffic collision,"Gaithersburg, Maryland",Unknown,Medium,C494,"talking them. Yes, I am playing just with them. I think he had a parachute on him, a I'd like to take care of students."
AUD-495,Audio,Building fire,New York,Unknown,High,C495,"What's the problem there? There's a fire on pregnant. There's a fire on the house. There's a fire on the house. Yes, please. Okay, get outside."
AUD-496,Audio,Stabbing / assault,Connecticut,Unknown,High,C496,My wife has now...
AUD-497,Audio,Homicide / death investigation,Florida,Unknown,High,C497,I have a quick story for a co-worker. She just called in and sounded very...
AUD-498,Audio,Medical emergency,Florida,Unknown,High,C498,"a wide female pastor pass out on one of our vehicles, which was 2122."
AUD-499,Audio,Non-emergency / misuse of 911,"Haltom City, Texas",Unknown,Low,C499,"I'm going to turn this to a 25-hour bus here. I'll just hit the 2-hour bus, so I'll tell you something."
AUD-500,Audio,Homicide / death investigation,California,Unknown,High,C500,"I don't know there's a lady laying out here on the sidewalk. Okay, are you with the lady?"
AUD-501,Audio,Burglary / robbery / intruder,"Palm Beach County, Florida",Unknown,High,C501,"Hi, my name is Gene Thomas. I'm watching my home online monitor and there's a black man in my house and he's robbing"
AUD-502,Audio,Medical emergency,"Collier County, Florida",Unknown,High,C502,"I'm going to start getting them out and out and be funny black. I'm going to get them away and what's me, are you with them now?"
AUD-503,Audio,Shooting / gun violence,"Botetourt County, Virginia",Unknown,High,C503,There is a strange man outside our home and he's taller.
AUD-504,Audio,Stabbing / assault,"Prescott, Arizona",Unknown,High,C504,"We're ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, ready, r"
AUD-505,Audio,Medical emergency,"Montcalm County, Michigan",Unknown,High,C505,"man, my wife is in the bathroom, she's bleeding over the place, she thinks she's having a"
AUD-506,Audio,Shooting / gun violence,Ohio,Unknown,High,C506,"and since they didn't read and we just got robbed. Okay, what do you look like?"
AUD-507,Audio,Public safety / unusual incident,California,Unknown,Low,C507,I've got a person here who is not fit to drive and needs to be taken faster.
AUD-508,Audio,Shooting / gun violence,"Temecula, California",Unknown,High,C508,"because my chain of lady, she was yelling for half. It looked like she had a blood all over."
AUD-509,Audio,Shooting / gun violence,"Temecula, California",Unknown,High,C509,"There's somebody killed someone. Okay, ask her where the suspect is."
AUD-510,Audio,Shooting / gun violence,Wisconsin,Unknown,High,C510,He said that shot the gunfire. Where are we? Can you go out to my east?
AUD-511,Audio,Domestic disturbance,"Hoffman Estates, Illinois",Unknown,Medium,C511,I need an ambulance to do it. Somebody just come and click to have a test.
AUD-512,Audio,Weather / environmental emergency,Tennessee,Unknown,Medium,C512,It is confirmed rotation on the ground. It's run a warehouse off of three quits.
AUD-513,Audio,Weather / environmental emergency,Tennessee,Unknown,Medium,C513,way into the north I've seen a funnel cloud just reporting my first exciting driving.
AUD-514,Audio,Weather / environmental emergency,Tennessee,Unknown,Medium,C514,We just got in the tornado and the chorus list and the windows were seen and we're bleeding.
AUD-515,Audio,Weather / environmental emergency,Tennessee,Unknown,Medium,C515,"I told you this camera crows, they're safe 24. Thank you."
AUD-516,Audio,Weather / environmental emergency,Tennessee,Unknown,Medium,C516,"Yeah, I have a rotating cloud coming in the southwest of Regis Eap Park."
AUD-517,Audio,Weather / environmental emergency,Tennessee,Unknown,Medium,C517,Are you a little bit tornadoes down off the broad and moral are you heart-car now? I'm looking at
AUD-518,Audio,Weather / environmental emergency,Tennessee,Unknown,Medium,C518,We can see a tornado we're at 914-year-old Chris. We have about five adults.
AUD-519,Audio,Medical emergency,"Ada County, Idaho",Unknown,High,C519,I'm my mom. She's sick and she's telling us that. She can't wake up.
AUD-520,Audio,Traffic collision,"Rochester, New York",Unknown,Medium,C520,We stand up and eat the meals to the college. We're out of the green people. We're out of the green people. We're out of the green people. We're out of the green people.
AUD-521,Audio,Shooting / gun violence,Iowa,Unknown,High,C521,Where's the guy with a gun in the case of the range? Which case is the Lincoln Y one?
AUD-522,Audio,Shooting / gun violence,New York,Unknown,High,C522,I just wanted to sit in this house like this. You can't even hear this. Who is that? That's the course to be my side.
AUD-523,Audio,Missing person / abduction,Florida,Unknown,Medium,C523,[No intelligible speech detected]
AUD-524,Audio,Stabbing / assault,Wisconsin,Unknown,High,C524,"Okay, so I might be fine. Okay, six, one, five. Okay. Okay."
AUD-525,Audio,Building fire,Ohio,Unknown,High,C525,"and then Warren there's a fire back here at someone's front porch. Okay, where you need the fire department ma'am."
AUD-526,Audio,Public safety / unusual incident,"Jersey City, New Jersey",Unknown,Low,C526,We just saw a big airliner to see if it could have had two hard planes and bullets.
AUD-527,Audio,Public safety / unusual incident,"Jersey City, New Jersey",Unknown,Low,C527,"So we'll we'll we'll we'll turn. Okay, thank you."
AUD-528,Audio,Public safety / unusual incident,"Jersey City, New Jersey",Unknown,Low,C528,emergency. Oh that's the F-18 chasing a big commercial plane around and around almost downtown Jersey. Yeah.
AUD-529,Audio,Public safety / unusual incident,"Jersey City, New Jersey",Unknown,Low,C529,"Yes, I just had two unusual aircraft fly really close."
AUD-530,Audio,Shooting / gun violence,"Santa Clara County, California",Unknown,High,C530,I am Mrs. Anna and I'm Mrs. Anna and I'm Mrs. Anna and I'm Mrs. Anna What are your address? What are you address?
AUD-531,Audio,Building fire,Wisconsin,Unknown,High,C531,I'm by the way the dog doesn't know in the water. And we can't get out. Oh my God.
AUD-532,Audio,Shooting / gun violence,Georgia,Unknown,High,C532,just walk up and then we're several done job. Okay sir. Stay with me okay?
AUD-533,Audio,Homicide / death investigation,Maryland,Unknown,High,C533,"If not, I'm calling from the Sheraton Gulf of Wernher. Yes, sir. We have a dead body in one of our roosians."
AUD-534,Audio,Stabbing / assault,"Rochester, New York",Unknown,High,C534,"because they just jumped back 13-year-old the water, and it's about to be on a 4-week-old one."
AUD-535,Audio,Shooting / gun violence,Texas,Unknown,High,C535,We got off the dam. What do you mean you have an old- I don't have a whole bunch off the dam. What do you-
AUD-536,Audio,Shooting / gun violence,Texas,Unknown,High,C536,We got a motherfucker.
AUD-537,Audio,Shooting / gun violence,Texas,Unknown,High,C537,"you know, love you to shut down. You heard what? I think love you is quite down."
AUD-538,Audio,Shooting / gun violence,"Sandusky, Ohio",Unknown,High,C538,It's too late. And the high-range head...
AUD-539,Audio,Homicide / death investigation,North Carolina,Unknown,High,C539,we have a dead body right out in front of our school on the grassy area but we're at the John C. Dorothy B. Johnson location
AUD-540,Audio,Shooting / gun violence,New York,Unknown,High,C540,[No intelligible speech detected]
AUD-541,Audio,Homicide / death investigation,"Cascade County, Montana",Unknown,High,C541,I just called over to my sister's house and I have a felon.
AUD-542,Audio,Shooting / gun violence,"Madison County, Illinois",Unknown,High,C542,The one man followed me from the adaptation. Sam? Did he show the gun to you?
AUD-543,Audio,Burglary / robbery / intruder,"Pima County, Arizona",Unknown,High,C543,I'm somebody just coming and shot my daughter and my husband. They shot them? Please let me check. I love my kids.
AUD-544,Audio,Shooting / gun violence,Wisconsin,Unknown,High,C544,I'm watching TV in a heard five shots and there's only an MITRE on yard. A woman's seat.
AUD-545,Audio,Stabbing / assault,Arizona,Unknown,High,C545,I just killed my family. Looks nice. All over me. What's your name? Michael Miller.
AUD-546,Audio,Medical emergency,Florida,Unknown,High,C546,"Why not? Sorry, let me get down here, Jesus. Where are you? No, no, God, I'm dead."
AUD-547,Audio,Shooting / gun violence,Florida,Unknown,High,C547,I'm going to need to increase my ambulance. I need to decrease my brother's trunk and eat to accrue my whole face.
AUD-548,Audio,Shooting / gun violence,Utah,Unknown,High,C548,"I'm pulled over in the road, my husband's in the middle of the road having a serious like cycle."
AUD-549,Audio,Medical emergency,Nevada,Unknown,High,C549,"Well, my husband's not, I can't seem to wake him up."
AUD-550,Audio,Threat / suspicious activity,Texas,Unknown,Medium,C550,Now listen here. I've got two people here help us to do it. Okay. Now you know
AUD-551,Audio,Stabbing / assault,Florida,Unknown,High,C551,"She made, we have a Burmese high-tard, and she's about 12 foot long, she got out of the cage last night and got into"
AUD-552,Audio,Domestic disturbance,"Charleston County, South Carolina",Unknown,Medium,C552,"We were just said and talking my wife feel a problem and then she fell on the floor. Okay, what?"
AUD-553,Audio,Homicide / death investigation,North Carolina,Unknown,High,C553,I'm going to put out a million streets up here by one of our kitcheners. Where are you at?
AUD-554,Audio,Homicide / death investigation,Tennessee,Unknown,High,C554,"So, that's been shot. I'm not the head that I have to check the vinyls."
AUD-555,Audio,Shooting / gun violence,"Jeffersontown, Kentucky",Unknown,High,C555,"There's a guy there with a gun. Yeah. A black and white, a black and white."
AUD-556,Audio,Shooting / gun violence,"Jeffersontown, Kentucky",Unknown,High,C556,plant that drats and guys walk around I'm talking about looking from the work that I've done he's just I can make some money to get my address please
AUD-557,Audio,Shooting / gun violence,"Jeffersontown, Kentucky",Unknown,High,C557,The man on the phone says there's a man on his property with a gun. Okay. And that's where the person is supposed to be.
AUD-558,Audio,Animal attack,Florida,Unknown,Medium,C558,I just have been bitten by a red tail fox up in red reef park.
AUD-559,Audio,Homicide / death investigation,"Butler County, Iowa",Unknown,High,C559,"We had a, I think a student right now on those bus born on the high school."
AUD-560,Audio,Homicide / death investigation,Wisconsin,Unknown,High,C560,out. Maybe not working. It's not working. My babies are in there. Oh my god. I'm going to get it.
AUD-561,Audio,Burglary / robbery / intruder,Arizona,Unknown,High,C561,I'm putting this pin in front of my daughter and my husband. They shot them? They shot them? What's your act of like a...
AUD-562,Audio,Medical emergency,North Carolina,Unknown,High,C562,"If it's cold, it's not breathing. If it's trying to get it to CPR. Okay. Is there any way you can get..."
AUD-563,Audio,Shooting / gun violence,"21 12 years, Washington",Unknown,High,C563,"Yeah, there's been a bunch of guns out to my house. I think a bunch of people were shot. We're at 21 12 years"
AUD-564,Audio,Medical emergency,"Spanish., Texas",Unknown,High,C564,I am going to go to the hospital. I am going to go to the hospital. I am going to go to the hospital.
AUD-565,Audio,Water emergency / drowning,Utah,Unknown,High,C565,I want to be your host of all the hands. We'll go to the place of the craft aid. So go and jump in after it.
AUD-566,Audio,Traffic collision,"Bumcombe County, North Carolina",Unknown,Medium,C566,I think I just tried to get out of his car and he tried in my truck.
AUD-567,Audio,Burglary / robbery / intruder,"Santa Fe County, New Mexico",Unknown,High,C567,"but he's been shot by calling the police and an ambulance. Yeah, does he let the horse you?"
AUD-568,Audio,Public safety / unusual incident,"Cambridge, Massachusetts",Unknown,Low,C568,happening. I just had an older woman standing there and she had noticed two gentlemen trying to get in a house.
AUD-569,Audio,Stabbing / assault,Texas,Unknown,High,C569,I'm not my sister! I'm not my sister! I'm not my sister!
AUD-570,Audio,Sexual assault / stalking,Tennessee,Unknown,High,C570,I have been in the news recently about being on in a hotel naked.
AUD-571,Audio,Shooting / gun violence,Wisconsin,Unknown,High,C571,There's a armed robbery going right on right now. I've been shot in the back and I believe you've been shot in the back Okay
AUD-572,Audio,Stabbing / assault,"Maitland, Florida",Unknown,High,C572,My father stabbed me. He just stabbed me.
AUD-573,Audio,Homicide / death investigation,"Orange County, Oklahoma",Unknown,High,C573,emergency. I grew up and just jumped off the back of our hotel room.
AUD-574,Audio,Shooting / gun violence,"Bird Naut Avenue, North Carolina",Unknown,High,C574,"Yes, other guys in the shot. Okay, right here on Bird Naut Avenue and I wanted to see if the animal"
AUD-575,Audio,Burglary / robbery / intruder,"Livingston County, Michigan",Unknown,High,C575,"No, there's people trying to break in my house. Okay, they're there right now. Right now, they just spoke a basement window."
AUD-576,Audio,Building fire,Ohio,Unknown,High,C576,I told my girlfriend. Excuse me. Did you hear me? I want you to read.
AUD-577,Audio,Shooting / gun violence,Tennessee,Unknown,High,C577,three black men in the middle of Russell Boulevard and one of them has like a
AUD-578,Audio,Shooting / gun violence,Tennessee,Unknown,High,C578,"Let me see. Okay, I'm right. It's right, my wife."
AUD-579,Audio,Shooting / gun violence,Tennessee,Unknown,High,C579,We've already got some money on the way. Can you give me any kind of description?
AUD-580,Audio,Shooting / gun violence,"Clackamas County, Oregon",Unknown,High,C580,"There are three black gentlemen that are there. Her last in the women, Aptie."
AUD-581,Audio,Shooting / gun violence,"Clackamas County, Oregon",Unknown,High,C581,I was at a late title. I picked $10 and these guys gave me one burger and a fries
AUD-582,Audio,Shooting / gun violence,"Clackamas County, Oregon",Unknown,High,C582,I gave you guys 10 hours and they gave me 1 burger and a fry and told me that it's hard.
AUD-583,Audio,Traffic collision,Iowa,Unknown,Medium,C583,"I've been running over. I've been running over. Oh, they only use real chat for..."
AUD-584,Audio,Stabbing / assault,Ohio,Unknown,High,C584,"Yes, my husband is a Batman, I stabbed him. Okay, what's your address? 94.95."
AUD-585,Audio,Traffic collision,"Sarasota, Florida",Unknown,Medium,C585,I'm driving and I have somebody chasing me and they just hit my car.
AUD-586,Audio,Shooting / gun violence,North Carolina,Unknown,High,C586,"Well, I'm Jeremy Drom now, I'm just trying to figure out a thing when you get..."
AUD-587,Audio,Fall / accidental injury,Idaho,Unknown,Medium,C587,Why don't you see what's the matter? I meant the court. I got to...
AUD-588,Audio,Homicide / death investigation,Florida,Unknown,High,C588,I have a quick story for a co-worker. She just called in and sounded very...
AUD-589,Audio,Homicide / death investigation,"Glynn County, Georgia",Unknown,High,C589,"I can't stand problem, you can't stand where he is at that. He's trying to himself, so I can't understand. I have a song over there."
AUD-590,Audio,Shooting / gun violence,Utah,Unknown,High,C590,"That's been part of it and so many things out. So I'm gonna shout out. Yeah, you can shout out to her over."
AUD-591,Audio,Shooting / gun violence,Ohio,Unknown,High,C591,Someone is getting my house within the summer.
AUD-592,Audio,Missing person / abduction,"Ogden, Utah",Unknown,Medium,C592,I just saw a guy go into a room.
AUD-593,Audio,Traffic collision,California,Unknown,Medium,C593,Uh-huh. It looks good. I'm sorry? I'm sorry. I like how I just stuck. Wow.
AUD-594,Audio,Homicide / death investigation,"Boone County, Kentucky",Unknown,High,C594,just been shot through in my parents. You've been shot? Just right. Where have you been shot at? I'm in my leg.
AUD-595,Audio,Shooting / gun violence,Wisconsin,Unknown,High,C595,Nobody just broke into a house with the address. They have to miss with the address. Shut up. You shy out?
AUD-596,Audio,Stabbing / assault,California,Unknown,High,C596,I had just fed my daughters and myself. You just did one? I found my daughters. You stopped.
AUD-597,Audio,Shooting / gun violence,Kentucky,Unknown,High,C597,"Wish 10 people in the house, do they have weapons? Huh? Yes. We'll catch the water."
AUD-598,Audio,Shooting / gun violence,"Huron County, Ohio",Unknown,High,C598,"Hi, my name is Steven Rodwold and I just heard a few of my dad."
AUD-599,Audio,Medical emergency,"Seminole County, Florida",Unknown,High,C599,The baby was breathing the mother. I had...
AUD-600,Audio,Traffic collision,"Canyon County, Idaho",Unknown,Medium,C600,My name is Casey and I'm driving toward Don Carrio and a car went off into the media at mile marker 22.
AUD-601,Audio,Shooting / gun violence,Arizona,Unknown,High,C601,"I just can't come back to the window. It's not too close. Is anybody hurting your house? I don't know yet, but..."
AUD-602,Audio,Medical emergency,"Sedona, Arizona",Unknown,High,C602,Do you see that? I was breathing. It was no cold. Yes.
AUD-603,Audio,Shooting / gun violence,"Harris County, Texas",Unknown,High,C603,What's going on? I don't know somebody put the window on now. And your house or your car?
AUD-604,Audio,Burglary / robbery / intruder,Wisconsin,Unknown,High,C604,I'm going to tell you what's going on. I'm going to tell you what's going on. I'm going to tell you what's going on.
AUD-605,Audio,Building fire,Florida,Unknown,High,C605,and there were some kids over here around just another kid who found another kid in all of that
AUD-606,Audio,Building fire,Florida,Unknown,High,C606,So we'll break this car on fire and you jump inside of the swimming pool. Go see address.
